Date,Open,High,Low,Close,Adj Close,Volume
10/3/2016,62.220001,62.57,61.669998,61.149754,62.52,7520100
10/4/2016,62.48,62.950001,61.939999,61.091072,62.459999,7897400
10/5/2016,62.700001,63.040001,62.48,61.423618,62.799999,7871300
10/6/2016,62.490002,62.689999,61.740002,61.28669,62.66,11430500
10/7/2016,62.77,62.990002,62.029999,61.394276,62.77,10775200
10/10/2016,64.209999,64.860001,63.439999,62.499516,63.900002,20345900
10/11/2016,63.529999,63.549999,61.75,60.572689,61.93,13955400
10/12/2016,62.400002,62.630001,61.580002,60.308605,61.66,10121900
10/13/2016,62.25,62.950001,61.939999,61.139973,62.509998,14541500
10/14/2016,62.720001,62.860001,62.130001,60.778084,62.139999,12204200
10/17/2016,62.049999,62.049999,60.799999,60.171677,61.52,13054600
10/18/2016,61.900002,62.619999,61.830002,60.729179,62.09,9988000
10/19/2016,62.130001,62.299999,61.810001,60.514,61.869999,5582700
10/20/2016,61.950001,62.27,61.689999,60.562904,61.919998,6323400
10/21/2016,61.549999,61.900002,61.029999,59.858685,61.200001,7406700
10/24/2016,61.400002,61.48,60.639999,59.418549,60.75,9943000
10/25/2016,60.27,62.189999,59.549999,60.592247,61.950001,15188500
10/26/2016,61.740002,61.849998,60.549999,59.535915,60.869999,9957800
10/27/2016,61.150002,62.060001,61,59.946712,61.290001,10350700
10/28/2016,61.02,61.07,58.450001,57.550411,58.84,20358400
10/31/2016,59.09,59.150002,58.369999,57.433044,58.720001,14254800
11/1/2016,59,59.59,58.509998,58.000328,59.299999,14347400
11/2/2016,59.060001,59.509998,58.75,57.550411,58.84,10724700
11/3/2016,59.18,59.220001,58.290001,57.149395,58.43,11323000
11/4/2016,58.689999,59.27,58.610001,57.530846,58.82,11318600
11/7/2016,59.52,60.209999,59.48,58.733891,60.049999,10478300
11/8/2016,59.82,60.779999,59.52,59.183807,60.509998,7903700
11/9/2016,63.959999,65,62.759998,62.773376,64.18,27851100
11/10/2016,64.540001,65.459999,64.519997,63.536278,64.959999,17862300
11/11/2016,64.080002,64.510002,63.580002,62.54842,63.950001,13941800
11/14/2016,64,64.089996,63.240002,62.137615,63.529999,10124500
11/15/2016,63.68,63.73,63.080002,62.254993,63.650002,7290400
11/16/2016,63.700001,63.950001,62.450001,61.257347,62.630001,10780200
11/17/2016,62.509998,62.790001,62.119999,61.325809,62.700001,8361300
11/18/2016,62.57,62.619999,61.73,60.514,61.869999,7696900
11/21/2016,61.939999,62.389999,61.720001,60.934578,62.299999,6836700
11/22/2016,62.5,62.650002,61.209999,60.347725,61.700001,9592200
11/23/2016,60.330002,61.700001,59.82,60.289043,61.639999,9149000
11/25/2016,61.82,62.400002,61.75,60.84655,62.209999,3501300
11/28/2016,61.779999,62.060001,61.619999,60.445538,61.799999,7449400
11/29/2016,61.950001,62.459999,61.919998,60.826988,62.189999,10034900
11/30/2016,62.310001,62.32,60.990002,59.848904,61.189999,12530700
12/1/2016,61.299999,61.369999,60.650002,59.428329,60.759998,8398900
12/2/2016,61.049999,61.52,60.630001,59.790222,61.130001,7993100
12/5/2016,61.52,61.529999,59.84,58.929508,60.25,12985200
12/6/2016,60.18,60.389999,59.610001,58.958847,60.279999,10659600
